Input.audio_url_c,Answer.EmotionClass.label,,ang,hap,neu,sad,total
000.wav,Sad,ang2hap,11,2,4,2,19
001.wav,Angry,ang2neu,10,3,5,1,19
002.wav,Happy,ang2sad,10,0,8,1,19
003.wav,Angry,,,,,,
004.wav,Sad,,,,,,
005.wav,Angry,,,,,,
006.wav,Angry,,,,,,
007.wav,Angry,,,,,,
008.wav,Neutral,,,,,,
009.wav,Neutral,,,,,,
010.wav,Happy,,,,,,
011.wav,Angry,,,,,,
012.wav,Neutral,,,,,,
013.wav,Neutral,,,,,,
014.wav,Angry,,,,,,
015.wav,Angry,,,,,,
016.wav,Angry,,,,,,
017.wav,Angry,,,,,,
018.wav,Angry,,,,,,
019.wav,Sad,,,,,,
020.wav,Angry,,,,,,
021.wav,Happy,,,,,,
022.wav,Angry,,,,,,
023.wav,Angry,,,,,,
024.wav,Angry,,,,,,
025.wav,Happy,,,,,,
026.wav,Angry,,,,,,
027.wav,Neutral,,,,,,
028.wav,Neutral,,,,,,
029.wav,Neutral,,,,,,
030.wav,Neutral,,,,,,
031.wav,Angry,,,,,,
032.wav,Angry,,,,,,
033.wav,Angry,,,,,,
034.wav,Angry,,,,,,
035.wav,Neutral,,,,,,
036.wav,Happy,,,,,,
037.wav,Angry,,,,,,
038.wav,Neutral,,,,,,
039.wav,Angry,,,,,,
040.wav,Sad,,,,,,
041.wav,Angry,,,,,,
042.wav,Angry,,,,,,
043.wav,Neutral,,,,,,
044.wav,Neutral,,,,,,
045.wav,Neutral,,,,,,
046.wav,Angry,,,,,,
047.wav,Neutral,,,,,,
048.wav,Neutral,,,,,,
049.wav,Angry,,,,,,
050.wav,Neutral,,,,,,
051.wav,Angry,,,,,,
052.wav,Angry,,,,,,
053.wav,Angry,,,,,,
054.wav,Neutral,,,,,,
055.wav,Angry,,,,,,
056.wav,Angry,,,,,,
057.wav,Happy,,,,,,
058.wav,Happy,,,,,,
059.wav,Angry,,,,,,
060.wav,Happy,,,,,,
061.wav,Angry,,,,,,
062.wav,Happy,,,,,,
063.wav,Neutral,,,,,,
064.wav,Neutral,,,,,,
065.wav,Happy,,,,,,
066.wav,Neutral,,,,,,
067.wav,Neutral,,,,,,
068.wav,Happy,,,,,,
069.wav,Neutral,,,,,,
070.wav,Neutral,,,,,,
071.wav,Neutral,,,,,,
072.wav,Neutral,,,,,,
073.wav,Angry,,,,,,
074.wav,Happy,,,,,,
075.wav,Happy,,,,,,
076.wav,Happy,,,,,,
077.wav,Happy,,,,,,
078.wav,Happy,,,,,,
079.wav,Happy,,,,,,
080.wav,Angry,,,,,,
081.wav,Angry,,,,,,
082.wav,Angry,,,,,,
083.wav,Happy,,,,,,
084.wav,Neutral,,,,,,
085.wav,Sad,,,,,,
086.wav,Happy,,,,,,
087.wav,Neutral,,,,,,
088.wav,Angry,,,,,,
089.wav,Happy,,,,,,
090.wav,Neutral,,,,,,
091.wav,Neutral,,,,,,
092.wav,Happy,,,,,,
093.wav,Angry,,,,,,
094.wav,Neutral,,,,,,
095.wav,Happy,,,,,,
096.wav,Happy,,,,,,
097.wav,Happy,,,,,,
098.wav,Neutral,,,,,,
099.wav,Happy,,,,,,
100.wav,Happy,,,,,,
101.wav,Neutral,,,,,,
102.wav,Neutral,,,,,,
103.wav,Neutral,,,,,,
104.wav,Happy,,,,,,
105.wav,Neutral,,,,,,
106.wav,Happy,,,,,,
107.wav,Neutral,,,,,,
108.wav,Neutral,,,,,,
109.wav,Angry,,,,,,
110.wav,Happy,,,,,,
111.wav,Neutral,,,,,,
112.wav,Neutral,,,,,,
113.wav,Neutral,,,,,,
114.wav,Happy,,,,,,
115.wav,Happy,,,,,,
116.wav,Happy,,,,,,
117.wav,Sad,,,,,,
118.wav,Happy,,,,,,
119.wav,Neutral,,,,,,
120.wav,Sad,,,,,,
121.wav,Happy,,,,,,
122.wav,Happy,,,,,,
123.wav,Neutral,,,,,,
124.wav,Happy,,,,,,
125.wav,Neutral,,,,,,
126.wav,Neutral,,,,,,
127.wav,Neutral,,,,,,
128.wav,Neutral,,,,,,
129.wav,Happy,,,,,,
