000.wav,Neutral,,Noisy,,,Hard to say
000.wav,,Angry,,Noisy,,Same speaker
000.wav,Neutral,,,Noisy,Same speaker,
000.wav,,Angry,,Bad,,Same speaker
000.wav,Sad,,Bad,,,Same speaker
000.wav,,Neutral,Fair,,,Different speakers
000.wav,Angry,,Fair,,,Different speakers
000.wav,Neutral,,Fair,,,Similar speaker
000.wav,Neutral,,Bad,,,Same speaker
000.wav,,Neutral,,Fair,,Same speaker
001.wav,Angry,,Noisy,,,Same speaker
001.wav,Angry,,Excellent,,,Same speaker
001.wav,Angry,,Good,,,Same speaker
001.wav,Neutral,,Fair,,,Hard to say
001.wav,,Angry,,Noisy,,Same speaker
001.wav,Angry,,,Excellent,Same speaker,
001.wav,Angry,,Fair,,,Similar speaker
001.wav,Sad,,Bad,,,Same speaker
001.wav,Angry,,Noisy,,,Similar speaker
001.wav,,Angry,Noisy,,,Hard to say
002.wav,Angry,,Fair,,,Same speaker
002.wav,Neutral,,Excellent,,,Same speaker
002.wav,Happy,,Good,,,Hard to say
002.wav,Angry,,Good,,,Different speakers
002.wav,Neutral,,Fair,,,Similar speaker
002.wav,,Happy,Bad,,,Similar speaker
002.wav,,Angry,,Good,,Same speaker
002.wav,Neutral,,Good,,,Similar speaker
002.wav,Angry,,Bad,,,Same speaker
002.wav,Angry,,Noisy,,,Same speaker
003.wav,Angry,,Excellent,,,Same speaker
003.wav,Happy,,Good,,,Hard to say
003.wav,,Angry,,Noisy,,Same speaker
003.wav,Happy,,Good,,,Similar speaker
003.wav,,Angry,,Fair,,Hard to say
003.wav,Angry,,,Noisy,Same speaker,
003.wav,Angry,,Good,,,Same speaker
003.wav,Angry,,Noisy,,,Same speaker
003.wav,Angry,,Bad,,,Similar speaker
003.wav,Neutral,,Good,,,Different speakers
004.wav,Happy,,Good,,,Similar speaker
004.wav,Angry,,Good,,,Different speakers
004.wav,Neutral,,,Fair,Same speaker,
004.wav,Angry,,Noisy,,,Similar speaker
004.wav,Neutral,,Good,,,Same speaker
004.wav,Angry,,Fair,,,Same speaker
004.wav,Angry,,Excellent,,,Same speaker
004.wav,,Angry,Noisy,,,Same speaker
004.wav,Neutral,,Good,,,Same speaker
004.wav,Angry,,Fair,,,Same speaker
005.wav,Neutral,,Good,,,Same speaker
005.wav,Neutral,,Good,,,Similar speaker
005.wav,Angry,,Fair,,,Same speaker
005.wav,Happy,,Excellent,,,Same speaker
005.wav,Happy,,Fair,,,Similar speaker
005.wav,Neutral,,Bad,,,Hard to say
005.wav,Angry,,Noisy,,,Same speaker
005.wav,Neutral,,,Fair,Same speaker,
005.wav,Angry,,,Fair,Hard to say,
005.wav,Angry,,Fair,,,Same speaker
006.wav,,Happy,,Good,,Same speaker
006.wav,Happy,,Excellent,,,Similar speaker
006.wav,,Happy,Bad,,,Different speakers
006.wav,Angry,,,Noisy,Same speaker,
006.wav,Angry,,Noisy,,,Similar speaker
006.wav,Neutral,,,Good,Same speaker,
006.wav,Neutral,,Good,,,Hard to say
006.wav,Neutral,,Fair,,,Same speaker
006.wav,Happy,,Good,,,Similar speaker
006.wav,Neutral,,Fair,,,Different speakers
007.wav,Neutral,,Good,,,Similar speaker
007.wav,,Angry,,Good,,Same speaker
007.wav,Angry,,,Fair,Hard to say,
007.wav,Angry,,Fair,,,Hard to say
007.wav,Angry,,,Good,Same speaker,
007.wav,Happy,,Fair,,,Similar speaker
007.wav,,Angry,,Fair,,Same speaker
007.wav,,Angry,,Noisy,,Similar speaker
007.wav,Angry,,Good,,,Same speaker
007.wav,,Angry,,Noisy,,Same speaker
008.wav,Neutral,,Good,,,Similar speaker
008.wav,,Angry,,Noisy,Hard to say,
008.wav,Happy,,Noisy,,,Similar speaker
008.wav,Happy,,Noisy,,,Hard to say
008.wav,Angry,,,Excellent,Same speaker,
008.wav,,Angry,,Noisy,,Same speaker
008.wav,Angry,,Good,,,Same speaker
008.wav,Happy,,Good,,,Same speaker
008.wav,,Angry,,Fair,,Hard to say
008.wav,Neutral,,Good,,,Same speaker
009.wav,Neutral,,Bad,,,Same speaker
009.wav,Happy,,Fair,,,Similar speaker
009.wav,,Neutral,,Bad,,Hard to say
009.wav,Neutral,,Fair,,,Same speaker
009.wav,Neutral,,Noisy,,,Same speaker
009.wav,Sad,,Good,,,Same speaker
009.wav,Sad,,Bad,,,Same speaker
009.wav,Neutral,,,Fair,Same speaker,
009.wav,Neutral,,Bad,,,Similar speaker
009.wav,Sad,,Bad,,,Similar speaker
010.wav,Happy,,Noisy,,,Different speakers
010.wav,,Happy,,Good,,Same speaker
010.wav,Neutral,,Excellent,,,Same speaker
010.wav,Neutral,,Good,,,Same speaker
010.wav,Neutral,,Good,,,Same speaker
010.wav,,Neutral,,Good,,Same speaker
010.wav,Happy,,Fair,,,Hard to say
010.wav,Happy,,Bad,,,Same speaker
010.wav,Happy,,,Good,Same speaker,
010.wav,Neutral,,Good,,,Same speaker
011.wav,,Angry,,Fair,,Same speaker
011.wav,,Neutral,,Good,,Same speaker
011.wav,,Neutral,Good,,,Similar speaker
011.wav,Neutral,,Fair,,,Same speaker
011.wav,Neutral,,Good,,,Hard to say
011.wav,Sad,,Bad,,,Same speaker
011.wav,Angry,,Good,,,Same speaker
011.wav,Angry,,,Fair,Different speakers,
011.wav,,Neutral,,Good,,Same speaker
011.wav,Neutral,,,Fair,Same speaker,
012.wav,Neutral,,Fair,,,Same speaker
012.wav,Neutral,,Good,,,Same speaker
012.wav,Angry,,,Bad,Hard to say,
012.wav,Angry,,Good,,,Similar speaker
012.wav,Neutral,,,Fair,Same speaker,
012.wav,,Sad,Noisy,,,Similar speaker
012.wav,Neutral,,Fair,,,Similar speaker
012.wav,Neutral,,Fair,,,Different speakers
