audio_url_c,audio_url_gt1,audio_url_gt2,audio_url_gt3
000.wav,Ses01M_impro03_F026.wav,Ses01M_impro06_F007.wav,Ses01M_script01_3_F004.wav
001.wav,Ses01M_impro06_F000.wav,Ses01M_impro06_F008.wav,Ses01M_script01_3_F008.wav
002.wav,Ses01M_impro06_F001.wav,Ses01M_impro06_F009.wav,Ses01M_script01_3_F012.wav
003.wav,Ses01M_impro06_F002.wav,Ses01M_impro06_F010.wav,Ses01M_script01_3_F014.wav
004.wav,Ses01M_impro06_F007.wav,Ses01M_impro06_F011.wav,Ses01M_script01_3_F015.wav
005.wav,Ses01M_impro06_F008.wav,Ses01M_impro06_F012.wav,Ses01M_script01_3_F024.wav
006.wav,Ses01M_impro06_F009.wav,Ses01M_impro06_F013.wav,Ses01M_script01_3_F025.wav
007.wav,Ses01M_impro06_F010.wav,Ses01M_impro06_F014.wav,Ses01M_script01_3_F026.wav
008.wav,Ses01M_impro06_F011.wav,Ses01M_impro06_F015.wav,Ses01M_script02_1_F007.wav
009.wav,Ses01M_impro06_F012.wav,Ses01M_impro06_F016.wav,Ses01M_script02_1_F008.wav
010.wav,Ses01M_impro06_F013.wav,Ses01M_impro06_F017.wav,Ses01M_script02_2_F000.wav
011.wav,Ses01M_impro06_F014.wav,Ses01M_impro06_F018.wav,Ses01M_script02_2_F019.wav
012.wav,Ses01M_impro06_F015.wav,Ses01M_impro06_F019.wav,Ses01M_script02_2_F022.wav
013.wav,Ses01M_impro06_F016.wav,Ses01M_impro06_F020.wav,Ses01M_script02_2_F024.wav
014.wav,Ses01M_impro06_F017.wav,Ses01M_impro06_F021.wav,Ses01M_script02_2_F025.wav
015.wav,Ses01M_impro06_F018.wav,Ses01M_impro06_F022.wav,Ses01M_script02_2_F026.wav
016.wav,Ses01M_impro06_F019.wav,Ses01M_impro06_F023.wav,Ses01M_script02_2_F033.wav
017.wav,Ses01M_impro06_F020.wav,Ses01M_impro06_F024.wav,Ses01M_script02_2_F034.wav
018.wav,Ses01M_impro06_F021.wav,Ses01M_impro06_F025.wav,Ses01M_script02_2_F035.wav
019.wav,Ses01M_impro06_F022.wav,Ses01M_impro06_F026.wav,Ses01M_script02_2_F036.wav
020.wav,Ses01M_impro06_F023.wav,Ses01M_impro06_F027.wav,Ses01M_script02_2_F037.wav
021.wav,Ses01M_impro06_F024.wav,Ses01M_impro06_F028.wav,Ses01M_script02_2_F040.wav
022.wav,Ses01M_impro06_F025.wav,Ses01M_impro07_F000.wav,Ses01M_script02_2_F046.wav
023.wav,Ses01M_impro06_F026.wav,Ses01M_impro07_F001.wav,Ses01M_script02_2_F047.wav
024.wav,Ses01M_impro06_F027.wav,Ses01M_impro07_F003.wav,Ses01M_script03_1_F007.wav
025.wav,Ses01M_impro06_F028.wav,Ses01M_impro07_F004.wav,Ses01M_script03_1_F031.wav
026.wav,Ses01M_impro07_F000.wav,Ses01M_impro07_F005.wav,Ses01M_script03_1_F036.wav
027.wav,Ses01M_impro07_F001.wav,Ses01M_impro07_F006.wav,Ses01M_script03_1_F037.wav
028.wav,Ses01M_impro07_F003.wav,Ses01M_impro07_F007.wav,Ses01M_script03_1_F038.wav
029.wav,Ses01M_impro07_F004.wav,Ses01M_impro07_F008.wav,Ses01M_script03_1_F039.wav
030.wav,Ses01M_impro07_F005.wav,Ses01M_impro07_F009.wav,Ses01M_script03_1_F040.wav
031.wav,Ses01M_impro07_F006.wav,Ses01M_impro07_F010.wav,Ses01M_script03_1_F041.wav
032.wav,Ses01M_impro07_F007.wav,Ses01M_impro07_F011.wav,Ses01M_script03_2_F006.wav
033.wav,Ses01M_impro07_F008.wav,Ses01M_impro07_F012.wav,Ses01M_script03_2_F010.wav
034.wav,Ses01M_impro07_F009.wav,Ses01M_impro07_F013.wav,Ses01M_script03_2_F022.wav
035.wav,Ses01M_impro07_F010.wav,Ses01M_impro07_F014.wav,Ses01M_script03_2_F023.wav
036.wav,Ses01M_impro07_F011.wav,Ses01M_impro07_F015.wav,Ses01M_script03_2_F024.wav
037.wav,Ses01M_impro07_F012.wav,Ses01M_impro07_F016.wav,Ses01M_script03_2_F025.wav
038.wav,Ses01M_impro07_F013.wav,Ses01M_impro07_F018.wav,Ses01M_script03_2_F026.wav
039.wav,Ses01M_impro07_F014.wav,Ses01M_impro07_F020.wav,Ses01M_script03_2_F027.wav
040.wav,Ses01M_impro07_F015.wav,Ses01M_impro07_F021.wav,Ses01M_script03_2_F028.wav
041.wav,Ses01M_impro07_F016.wav,Ses01M_impro07_F022.wav,Ses01M_script03_2_F029.wav
042.wav,Ses01M_impro07_F018.wav,Ses01M_impro07_F023.wav,Ses01M_script03_2_F030.wav
043.wav,Ses01M_impro07_F020.wav,Ses01M_impro07_F024.wav,Ses01M_script03_2_F031.wav
044.wav,Ses01M_impro07_F021.wav,Ses01M_impro07_F025.wav,Ses01M_script03_2_F033.wav
045.wav,Ses01M_impro07_F022.wav,Ses01M_impro07_F026.wav,Ses01M_script03_2_F034.wav
046.wav,Ses01M_impro07_F023.wav,Ses01M_impro07_F027.wav,Ses01M_script03_2_F035.wav
047.wav,Ses01M_impro07_F024.wav,Ses01M_script01_1_F025.wav,Ses01M_script03_2_F036.wav
048.wav,Ses01M_impro07_F025.wav,Ses01M_script01_1_F026.wav,Ses01M_script03_2_F037.wav
049.wav,Ses01M_impro07_F026.wav,Ses01M_script01_3_F000.wav,Ses01M_script03_2_F038.wav
050.wav,Ses01M_impro07_F027.wav,Ses01M_script01_3_F001.wav,Ses01M_script03_2_F039.wav
051.wav,Ses01M_script01_1_F025.wav,Ses01M_script01_3_F004.wav,Ses01M_script03_2_F040.wav
052.wav,Ses01M_script01_1_F026.wav,Ses01M_script01_3_F008.wav,Ses01M_script03_2_F041.wav
053.wav,Ses01M_script01_3_F000.wav,Ses01M_script01_3_F012.wav,Ses01M_impro06_F007.wav
