A2NYHRY8ELO4FW,100.wav,Happy,,,,,,,,,,,,
A33GX3JAEX2RCI,1000.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,1001.wav,Neutral,,,,,,,,,,,,
A33GX3JAEX2RCI,1002.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,1003.wav,Angry,,,,,,,,ang,hap,neu,sad,total
A33GX3JAEX2RCI,1004.wav,Neutral,,,,,,,S01_ang2hap,14,2,3,0,19
A19VF0AVOVX8K3,1005.wav,Neutral,,,,,,,S01_ang2neu,15,0,3,1,19
A2EELTS09HUTSF,1006.wav,Happy,,,,,,,S01_ang2sad,9,0,8,2,19
A2EELTS09HUTSF,1007.wav,Angry,,,,,,,S01_hap2ang,4,7,21,0,32
A1HNR6OIRFCEHS,1008.wav,Angry,,,,,,,S01_hap2neu,,,,,
A19VF0AVOVX8K3,1009.wav,Neutral,,,,,,,S01_hap2sad,,,,,
A2NYHRY8ELO4FW,101.wav,Happy,,,,,,,S01_neu2ang,,,,,
A211CEBWXYYT7F,1010.wav,Neutral,,,,,,,S01_neu2hap,,,,,
A211CEBWXYYT7F,1011.wav,Neutral,,,,,,,S01_neu2sad,,,,,
A3PABOW1OQ9MX1,1012.wav,Happy,,,,,,,S01_sad2ang,,,,,
AIHVLBHJROONN,1013.wav,Sad,,,,,,,S01_sad2hap,,,,,
A211CEBWXYYT7F,1014.wav,Neutral,,,,,,,S01_sad2neu,,,,,
A1HNR6OIRFCEHS,1015.wav,Neutral,,,,,,,,,,,,
A19QK6E0OXZ5R6,1016.wav,Neutral,,,,,,,,,,,,
A15AC48EPUVZIK,1017.wav,Neutral,,,,,,,,,,,,
A2NYHRY8ELO4FW,1018.wav,Angry,,,,,,,,,,,,
AKB82TCYUECWD,1019.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,102.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,1020.wav,Neutral,,,,,,,,,,,,
A211CEBWXYYT7F,1021.wav,Neutral,,,,,,,,,,,,
A24DTU9HOGIJC1,1022.wav,Happy,,,,,,,,,,,,
A1HNR6OIRFCEHS,1023.wav,Neutral,,,,,,,,,,,,
A3V8LIMUUJWUTL,1024.wav,Sad,,,,,,,,,,,,
A8PCFV53E7C9M,1025.wav,Neutral,,,,,,,,,,,,
A75NFL7PFMSC4,1026.wav,Neutral,,,,,,,,,,,,
A1HNR6OIRFCEHS,1027.wav,Sad,,,,,,,,,,,,
A3PABOW1OQ9MX1,1028.wav,Neutral,,,,,,,,,,,,
A29UIKU6GHQOQP,1029.wav,Neutral,,,,,,,,,,,,
A110SRJXQW7KMQ,103.wav,Happy,,,,,,,,,,,,
A211CEBWXYYT7F,1030.wav,Happy,,,,,,,,,,,,
A19QK6E0OXZ5R6,1031.wav,Neutral,,,,,,,,,,,,
